,internal_id,h3_index,latitude,longitude,name,tags,categories,place_id,address,timezone,temporarily_closed,permanently_closed,inside_of,price_level,contact_phone,contact_website,number_of_reviews,rating_stars,spending_time_min,spending_time_max,has_popularity,has_opening_hours,has_waiting_time
375,0x130e5aab2dbd3c47:0x6db2f43776bc0c0b,8f3f304e1cc9b4d,35.892169700000004,14.457634599999999,Grant Thornton Malta,{certified_public_accountantbusiness_management_consultanttax_consultanttax_preparation_service},{service},ChIJRzy9LataDhMRCwy8djf0sm0,{Fort Business Centre Triq L-Intornjatur Zone 1 Central Business District BirkirkaraCBD 1050Malta},Europe/Malta,False,False,,,35620931000.0,http://www.grantthornton.com.mt/,9.0,4.1,,,True,True,True
376,0x130e50198f843937:0xfcb22a7d75e291f1,8f3f304e1ce6899,35.8936078,14.454286199999999,Embassy of Libya,{embassy},{administration},ChIJNzmEjxlQDhMR8ZHidX0qsvw,{Triq l-ImdinaBalzanMalta},Europe/Malta,False,False,,,35621486347.0,,6.0,4.3,,,False,True,False
377,0x130e501edc293539:0x57d234a4f3716ccb,8f3f304e1d0cb32,35.8981834,14.452181,Balzan Football Club,{bar},{drinks},ChIJOTUp3B5QDhMRy2xx86Q00lc,{Triq It- Tliet KnejjesBalzanMalta},Europe/Malta,False,False,,1.0,35627204305.0,,268.0,4.5,90.0,180.0,True,True,True
378,0x130e501f23c55555:0x82790cba3d52e693,8f3f304e1d0cd6b,35.8981194,14.451951699999999,Carolina's Petit Cafe,{cafe},{cafe},ChIJVVXFIx9QDhMRk-ZSPboMeYI,{Pjazza Bertu Fenech 79/80BalzanMalta},Europe/Malta,False,False,,2.0,35621448059.0,https://m.facebook.com/Carolinas-Petit-Cafe-404763006660244/,497.0,4.3,10.0,60.0,True,True,True
379,0x130e517929446899:0x523dec44340533e4,8f3f304e1d1d8e1,35.8972872,14.451546400000002,Good Shepard Convent,{nunnery},{religious_building},ChIJmWhEKXlRDhMR5DMFNETsPVI,{Triq IdmejdaBalzanMalta},Europe/Malta,False,False,,,,,7.0,4.4,,,False,False,False
380,0x130e501f40f1890b:0xa75afba4047ea063,8f3f304e1d226d9,35.898501700000004,14.4504034,Aurora Hall,{city_hall},{administration},ChIJC4nxQB9QDhMRY6B-BKT7Wqc,{Main StBalzanMalta},Europe/Malta,False,False,,,,,1.0,5.0,,,False,False,False
381,0x130e501f3dfd8447:0xffd5a33d81c1ba1b,8f3f304e1d23083,35.8987077,14.450844199999999,St Gabriel Band Club,{musical_club},{misc},ChIJR4T9PR9QDhMRG7rBgT2j1f8,{Triq il-Kbira223 Villa BalzanBalzanMalta},Europe/Malta,False,False,,,35621445840.0,http://www.stgabrielbandclub.com/,428.0,4.5,,,False,True,False
382,0x130e501edf050a9f:0xe0e4423de6026281,8f3f304e1d2a34b,35.898397499999994,14.452071400000001,Balzan Police Station,{police},{public_service},ChIJnwoF3x5QDhMRgWIC5j1C5OA,{Pjazza Bertu FenechBalzanMalta},Europe/Malta,False,False,,,35622943541.0,http://www.police.gov.mt/,2.0,4.5,,,False,False,False
383,0x130e501edeb641d3:0xd891bdf171924463,8f3f304e1d2b40a,35.8982883,14.452237400000001,Socjeta' Filarmonika Marija Annunzjata,{entertainment},{entertainment},ChIJ00G23h5QDhMRY0SScfG9kdg,{Triq il-KbiraĦal BalzanMalta},Europe/Malta,False,False,,,35621491723.0,https://www.facebook.com/SFMA1890/,67.0,4.4,,,False,False,False
384,0x130e501ee7fa576f:0x23e5988281d1eed1,8f3f304e1d2ba44,35.8985672,14.452617300000002,Kola Store,{grocery_store},{groceries},ChIJb1f65x5QDhMR0e7RgYKY5SM,{VFX3+C2HBalzanMalta},Europe/Malta,False,False,,,,,2.0,4.0,,,False,True,False
